游戏名称,IDO,筹款目标,发行资产,Time of Crawl
League of Empires,IDO ON Poolz,"$250,000 ",Token Sale,2022/11/12
Project Hive,IDO ON Poolz,"$300,000 ",Token Sale,2022/11/12
SuperVet,IDO ON Kommunitas,"$100,000 ",Token Sale,2022/11/12
Boss Fighters,IDO ON Gamestarter,"$35,000 ",Token Sale,2022/11/12
League of Empires,IDO ON Enjinstarter,"$200,000 ",Token Sale,2022/11/12
Boss Fighters,IDO ON Infinity Pad,"$30,000 ",Token Sale,2022/11/12
StarSharks,The StarSharks Homeland NFT,"$270,000 ",NFT sale,2022/11/12
League of Kingdoms,LoK Drago Genesis NFT,"$195,000 ",NFT sale,2022/11/12
Engines of Fury,IDO ON GameFi,"$148,000 ",Token Sale,2022/11/12
