Name,Investor Type,Total Investment,Current ROI,Ath ROI,Top3 ROI,Time of Crawl
quest-capital,Crypto Ventures,1,31.61x,336.94x,PlayDapp(31.61x ),2022/11/12
vestigium,,1,31.61x,336.94x,PlayDapp(31.61x ),2022/11/12
blocore,,4,31.61x,336.94x,PlayDapp(31.61x ),2022/11/12
scalar-capital,Crypto Ventures,2,25.08x,"1,117x",Yield Guild Games(24.9x ),2022/11/12
gumi-cryptos,,4,25.08x,"1,117x",Yield Guild Games(24.9x ),2022/11/12
flamingodao,,2,25.08x,"1,117x",Yield Guild Games(24.9x ),2022/11/12
r930-capital,Crypto Ventures,2,21.43x,"1,316.16x","Blackpool(41.02x ), Last Survivor(0.09x )",2022/11/12
blocktower-capital,,3,20.85x,502.55x,"PlayDapp(31.61x ), Yield Guild Games(24.9x ), League of Kingdoms(5.86x )",2022/11/12
bitscale-capital,Crypto Ventures,10,18.42x,591.51x,"Yield Guild Games(24.9x ), My Neighbor Alice(24.6x ), Yield Guild Games(5.53x )",2022/11/12
