platform name,blockchain,current roi,ath roi,tges,raised,entry,time to crawl
GameFi,"['ethereum', 'solana', 'polygon', 'moonriver']",0.16x,32.1x,39,"$5,144,600 ",$158.33 ,2022/11/12
TrustPad,"['ethereum', 'solana', 'polygon', 'avalanche', 'enjin', 'okexchain', 'terra', 'aurora', 'celo', 'fantom', 'other']",0.12x,13.66x,39,"$7,235,094 ",$235.64 ,2022/11/12
Red Kite,"['ethereum', 'solana', 'polygon', 'moonriver']",0.19x,30.08x,38,"$4,987,382 ",$52.68 ,2022/11/12
Seedify,"['ethereum', 'solana', 'polygon', 'avalanche', 'enjin', 'fantom', 'other']",0.19x,47.3x,33,"$9,223,747 ",$316.39 ,2022/11/12
Enjinstarter,"['ethereum', 'solana', 'polygon', 'avalanche', 'enjin']",0.14x,39.77x,32,"$4,260,000 ",$2.15 ,2022/11/12
BSCStation,"['ethereum', 'polygon']",0.06x,27.03x,30,"$4,028,750 ",$104.69 ,2022/11/12
DAO Maker,"['ethereum', 'polygon']",0.66x,40.21x,27,"$4,051,000 ",$270.67 ,2022/11/12
Poolz,"['ethereum', 'polygon']",0.19x,68.28x,26,"$3,522,000 ",$288.75 ,2022/11/12
Gamestarter,"['solana', 'avalanche', 'aurora', 'celo', 'other']",0.14x,19.69x,22,"$3,777,475 ",$27.97 ,2022/11/12
